Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
30.0,18.0,1.0,1.79,0.0,18.0,0.35,6.0,19.0,0.0,3.26,49.31,26.56,0.46,0.03,0.13,0.09,-0.25,0.0,1093.0,155.0,6.0,0.0,0.0,155.0,155.0,4.95645131806852e-06,2.47822565903426e-06,1.505739570174703e-06,1.2363454115461736,0.8,18.02,242.84,65.72,0.0
22.0,6.0,10.0,1.78,1.0,13.0,0.57,8.0,6.0,0.0,0.7,45.9,27.82,0.43,0.04,0.06,0.13,-0.27,0.0,756.0,167.0,3.0,0.0,0.0,167.0,167.0,0.0001119797865829,5.598989329147573e-05,3.5448757389350215e-05,1.3099811186552257,0.8,12.12,153.65,80.91,0.0
16.0,12.0,18.0,4.41,1.0,21.0,0.34,13.0,17.0,1.0,2.39,37.18,23.77,0.41,0.06,0.27,0.14,-0.27,0.0,501.0,0.0,1.0,0.0,0.0,0.0,0.0,4.081535659979513e-05,2.040767829989757e-05,1.2940456374658013e-05,1.3551805804322197,1.0,11.98,117.54,83.47,1.0
9.0,5.0,2.0,2.56,1.0,12.0,0.78,19.0,9.0,1.0,3.45,30.73,25.92,0.1,0.08,0.24,0.2,-0.22,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,5.518080941266559e-05,2.7590404706332796e-05,1.646566712844407e-05,1.4056613032560927,1.0,9.4,67.36,90.86,1.0
4.0,3.0,20.0,4.78,1.0,19.0,0.17,2.0,10.0,1.0,4.38,44.48,35.99,0.37,0.05,0.1,0.18,-0.24,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,7.379377357014821e-05,3.68968867850741e-05,2.4353284671175926e-05,1.4070645651717373,1.0,9.68,69.96,90.38,1.0
2.0,12.0,11.0,1.07,0.0,18.0,0.12,16.0,5.0,0.0,4.35,7.49,26.82,0.31,0.04,0.29,0.03,-0.01,761.0,782.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0001186954548672,5.9347727433600585e-05,4.9244163218620495e-05,2.069493478837483,0.0,0.85,96.07,95.5,0.0
30.0,19.0,15.0,0.14,0.0,26.0,0.34,5.0,4.0,0.0,3.52,43.06,5.48,0.15,0.06,0.07,0.13,-0.17,0.0,1027.0,0.0,2.0,0.0,0.0,0.0,0.0,7.962298595229777e-05,3.981149297614889e-05,2.377961220133578e-05,1.3252420947779493,1.0,17.42,230.6,66.71,1.0
14.0,17.0,5.0,1.46,1.0,6.0,0.72,20.0,16.0,0.0,3.58,8.95,11.82,0.33,0.01,0.1,0.07,-0.06,466.0,704.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0001413704481492,7.068522407462828e-05,4.461030021017276e-05,1.294261031741565,0.4,6.94,107.45,90.38,0.0
16.0,16.0,19.0,2.44,0.0,4.0,0.68,7.0,1.0,1.0,2.72,32.34,9.75,0.43,0.04,0.13,0.01,-0.14,0.0,6226.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0001191565799302,5.957828996510797e-05,3.6397299843027066e-05,1.2508846286510678,0.2,83.28,1473.95,11.45,0.0
24.0,19.0,15.0,3.94,0.0,29.0,0.84,10.0,11.0,0.0,1.26,13.69,34.32,0.09,0.09,0.27,0.17,-0.12,15.0,764.0,155.0,2.0,0.0,0.0,155.0,155.0,3.3674807253280345e-05,1.6837403626640172e-05,1.0643286758526538e-05,1.3427682178033398,0.8,14.22,148.73,80.91,0.0
6.0,2.0,12.0,2.76,0.0,17.0,0.98,20.0,3.0,1.0,4.16,40.01,39.55,0.42,0.02,0.25,0.19,-0.03,923.0,962.0,0.0,11.0,0.0,0.0,0.0,0.0,1.7364128062780847e-05,8.682064031390424e-06,6.15996282960491e-06,2.000727452860561,0.0,1.2,117.68,93.92,0.0
24.0,20.0,7.0,1.65,0.0,11.0,0.37,13.0,7.0,1.0,4.48,8.02,18.83,0.2,0.08,0.21,0.08,-0.16,0.0,3602.0,0.0,16.0,0.0,0.0,0.0,0.0,4.05389484059878e-06,2.02694742029939e-06,1.2915406361089122e-06,2.2652572711870764,0.6,56.31,843.95,11.33,0.0
17.0,14.0,9.0,4.54,0.0,3.0,0.56,18.0,20.0,0.0,3.61,8.31,35.21,0.32,0.08,0.28,0.08,-0.28,0.0,705.0,155.0,2.0,0.0,0.0,155.0,155.0,0.0001466856289216,7.334281446080032e-05,4.759787305096858e-05,1.2693240370548171,0.8,14.22,137.66,81.89,0.0
6.0,13.0,20.0,0.72,0.0,25.0,0.14,13.0,10.0,0.0,4.08,42.34,9.77,0.29,0.03,0.09,0.03,-0.23,0.0,1326.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0001174259231932,5.87129615966031e-05,3.8821085223780927e-05,1.216201229773883,0.8,21.56,303.69,54.47,0.0
13.0,12.0,12.0,1.63,0.0,29.0,0.83,1.0,10.0,0.0,3.7,25.29,12.71,0.32,0.1,0.2,0.14,-0.01,762.0,897.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0001190971187986,5.954855939930259e-05,3.97582622894399e-05,1.87262964429678,0.2,4.65,116.72,92.15,0.0
12.0,6.0,2.0,2.55,0.0,5.0,0.72,2.0,14.0,0.0,2.44,44.01,17.54,0.43,0.07,0.09,0.2,-0.24,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001210288707925,6.051443539627973e-05,3.649473480903083e-05,1.195765917205468,1.0,12.61,127.11,81.89,1.0
5.0,8.0,17.0,0.75,1.0,18.0,0.11,6.0,4.0,1.0,3.01,29.75,23.97,0.48,0.08,0.12,0.18,-0.27,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3182007131327e-05,3.15910035656635e-05,1.865611312045533e-05,1.3275217295466182,1.0,12.53,98.87,85.94,1.0
14.0,16.0,20.0,2.42,0.0,14.0,0.22,8.0,1.0,1.0,1.14,24.11,11.03,0.11,0.04,0.13,0.16,-0.02,771.0,795.0,0.0,10.0,0.0,0.0,0.0,0.0,1.223825645757826e-05,6.11912822878913e-06,4.456388359566211e-06,2.071757528936693,0.0,0.89,95.8,95.5,0.0
6.0,18.0,11.0,3.04,0.0,30.0,0.69,7.0,3.0,0.0,4.9,42.07,13.92,0.24,0.1,0.13,0.04,-0.13,0.0,883.0,0.0,2.0,0.0,0.0,0.0,0.0,4.844490433028408e-06,2.422245216514204e-06,1.7310996825396762e-06,1.2784159921814262,0.8,16.96,201.08,70.37,0.0
1.0,4.0,9.0,3.65,0.0,2.0,0.84,8.0,19.0,0.0,4.09,45.37,20.58,0.23,0.07,0.07,0.07,-0.28,170.0,837.0,155.0,4.0,0.0,0.0,155.0,155.0,0.0001363315637088,6.816578185443782e-05,4.0973711320606565e-05,1.3127398092636164,0.6,12.22,148.45,82.88,0.0
6.0,9.0,18.0,1.14,1.0,30.0,0.96,3.0,7.0,0.0,4.72,35.13,9.96,0.06,0.03,0.23,0.07,-0.19,0.0,625.0,0.0,2.0,0.0,0.0,0.0,0.0,6.712789505282532e-05,3.356394752641266e-05,2.117767551560444e-05,1.316954703176091,0.8,14.05,148.81,78.14,0.0
11.0,14.0,7.0,3.96,1.0,11.0,0.45,11.0,18.0,1.0,4.17,15.17,12.29,0.2,0.08,0.14,0.09,-0.19,0.0,1365.0,0.0,4.0,0.0,0.0,0.0,0.0,6.153531227474554e-05,3.076765613737277e-05,2.0255336978629647e-05,1.3155392761825473,0.8,22.1,311.81,53.09,0.0
24.0,20.0,5.0,1.45,0.0,12.0,0.59,10.0,10.0,1.0,0.3,21.06,36.24,0.23,0.03,0.1,0.02,-0.13,7.0,1514.0,0.0,6.0,0.0,0.0,0.0,0.0,9.918486829533722e-05,4.959243414766861e-05,2.974217406802939e-05,1.29173723513575,0.6,25.93,355.28,46.93,0.0
4.0,9.0,14.0,2.11,0.0,15.0,1.0,9.0,10.0,1.0,2.82,42.51,23.44,0.29,0.07,0.09,0.06,-0.06,306.0,715.0,0.0,3.0,0.0,0.0,0.0,0.0,1.106971190871248e-05,5.53485595435624e-06,3.614759740032449e-06,1.3329783478104045,0.8,9.85,140.96,83.71,0.0
5.0,19.0,18.0,2.46,0.0,13.0,0.73,10.0,8.0,1.0,2.18,40.47,35.02,0.47,0.03,0.18,0.2,-0.21,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096805150078903e-06,5.484025750394517e-07,3.824280194108406e-07,1.2974073219275015,1.0,11.59,98.79,85.94,1.0
6.0,2.0,15.0,4.0,1.0,1.0,0.35,9.0,20.0,1.0,1.3,47.16,28.85,0.23,0.06,0.29,0.13,-0.24,6.0,1026.0,154.0,6.0,0.0,0.0,154.0,154.0,3.0319958762617816e-05,1.5159979381308908e-05,9.05481165703869e-06,1.262556509377328,0.6,15.12,227.11,68.28,0.0
8.0,7.0,11.0,2.55,1.0,27.0,0.32,7.0,10.0,0.0,1.85,9.2,36.28,0.42,0.08,0.08,0.14,-0.06,926.0,1011.0,0.0,12.0,0.0,0.0,0.0,0.0,4.962914663329821e-05,2.4814573316649106e-05,1.7472675889330897e-05,1.852540789438917,0.0,1.95,162.84,86.92,0.0
9.0,14.0,15.0,1.21,0.0,28.0,0.65,8.0,15.0,1.0,1.29,32.6,15.77,0.21,0.06,0.18,0.05,-0.07,461.0,968.0,155.0,7.0,0.0,0.0,155.0,155.0,3.716241421425845e-05,1.8581207107129224e-05,1.2131435420446988e-05,1.3424316510966876,0.4,10.58,175.08,81.89,0.0
22.0,11.0,9.0,2.88,0.0,30.0,0.26,20.0,12.0,0.0,3.3,28.36,19.75,0.37,0.02,0.19,0.19,-0.17,0.0,819.0,154.0,3.0,0.0,0.0,154.0,154.0,7.978113622731076e-07,3.989056811365538e-07,3.212535006055367e-07,1.360185685477158,0.8,13.79,166.84,77.75,0.0
11.0,6.0,2.0,4.99,0.0,22.0,0.86,12.0,1.0,0.0,4.47,47.47,32.04,0.11,0.04,0.16,0.06,-0.23,2.0,652.0,0.0,2.0,0.0,0.0,0.0,0.0,1.558040786737569e-05,7.790203933687845e-06,4.972305357126531e-06,1.3015536055821804,1.0,14.88,154.03,inf,1.0
26.0,1.0,15.0,1.69,0.0,1.0,0.31,10.0,1.0,0.0,3.52,34.3,29.9,0.3,0.05,0.15,0.12,-0.16,8.0,1962.0,161.0,9.0,0.0,0.0,161.0,161.0,1.0276295446238974e-05,5.138147723119487e-06,4.275224055546825e-06,2.3809160234531928,0.4,26.74,434.2,36.72,0.0
4.0,17.0,4.0,3.4,1.0,7.0,0.32,4.0,5.0,1.0,3.82,47.29,7.09,0.08,0.03,0.25,0.01,-0.1,770.0,1241.0,0.0,9.0,0.0,0.0,0.0,0.0,4.3502158814657976e-05,2.1751079407328988e-05,1.3613513332258392e-05,1.2419038661653583,0.2,12.96,240.63,73.22,0.0
15.0,16.0,6.0,4.11,0.0,10.0,0.15,6.0,9.0,1.0,2.23,19.03,17.77,0.42,0.03,0.13,0.06,-0.06,779.0,814.0,0.0,10.0,0.0,0.0,0.0,0.0,2.4718707796409417e-05,1.2359353898204708e-05,8.983266200586543e-06,2.013563793874376,0.0,1.17,98.69,95.11,0.0
12.0,20.0,8.0,2.4,1.0,29.0,0.9,1.0,15.0,1.0,1.31,32.32,30.61,0.4,0.08,0.11,0.2,-0.21,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3852511368652505e-05,6.926255684326252e-06,4.361036830802673e-06,1.38188487192977,1.0,10.08,74.48,-inf,1.0
7.0,19.0,10.0,2.52,1.0,28.0,0.93,11.0,5.0,1.0,1.84,29.88,39.82,0.49,0.09,0.15,0.08,-0.11,0.0,549.0,155.0,2.0,0.0,0.0,155.0,155.0,2.4502437212141728e-05,1.2251218606070864e-05,7.65023754643179e-06,1.3011714007981705,0.8,11.17,106.21,86.83,0.0
21.0,15.0,7.0,3.15,0.0,2.0,0.4,8.0,20.0,0.0,4.21,35.03,18.59,0.26,0.03,0.28,0.15,-0.26,2.0,2064.0,155.0,12.0,0.0,0.0,155.0,155.0,0.0001018036803097,5.090184015486405e-05,4.242505888927961e-05,2.433451057464904,0.4,27.02,474.56,29.92,0.0
12.0,8.0,18.0,1.62,0.0,18.0,0.13,1.0,9.0,0.0,3.26,37.74,21.6,0.22,0.07,0.09,0.06,-0.17,0.0,553.0,155.0,2.0,0.0,0.0,155.0,155.0,1.1501285856549688e-05,5.750642928274844e-06,3.4635119192087624e-06,1.2999557373564972,0.8,11.36,106.39,86.83,0.0
14.0,5.0,8.0,1.51,0.0,13.0,0.99,10.0,10.0,0.0,3.63,47.96,20.63,0.21,0.09,0.1,0.07,-0.19,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151661858576001e-05,2.5758309292880003e-05,1.5670753991478533e-05,1.2942513993263056,1.0,14.04,130.81,81.32,1.0
14.0,18.0,18.0,2.02,1.0,28.0,0.12,18.0,15.0,0.0,4.79,42.37,11.97,0.15,0.1,0.15,0.19,-0.23,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,5.358911796151477e-05,2.6794558980757387e-05,1.8018951489024383e-05,1.4088943187479517,1.0,10.32,86.12,87.91,1.0
2.0,7.0,2.0,4.24,0.0,16.0,0.83,4.0,8.0,0.0,3.45,13.69,20.35,0.18,0.09,0.16,0.08,-0.25,0.0,942.0,0.0,2.0,0.0,0.0,0.0,0.0,8.611169608872297e-06,4.3055848044361485e-06,2.913531819039265e-06,1.2927620100377963,0.8,18.53,213.18,69.0,0.0
22.0,14.0,9.0,3.0,1.0,1.0,0.47,4.0,18.0,0.0,1.3,48.55,11.45,0.29,0.01,0.29,0.16,-0.04,815.0,853.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0001033976195369,5.169880976849287e-05,4.258494988193016e-05,1.6144259029377053,0.0,1.24,103.74,94.91,0.0
14.0,7.0,17.0,2.9,1.0,24.0,0.13,13.0,14.0,0.0,4.69,11.87,6.72,0.35,0.07,0.05,0.06,-0.18,0.0,2026.0,0.0,10.0,0.0,0.0,0.0,0.0,1.5028272099858167e-05,7.514136049929084e-06,4.838974893727033e-06,1.2286352756055348,0.4,25.92,484.04,29.42,0.0
2.0,18.0,7.0,2.6,1.0,26.0,0.2,17.0,17.0,1.0,4.82,21.09,15.52,0.3,0.06,0.17,0.06,-0.11,0.0,1166.0,0.0,5.0,0.0,0.0,0.0,0.0,2.633583357483385e-05,1.3167916787416927e-05,8.718523136127926e-06,1.2770259656615035,0.8,21.33,277.64,58.71,0.0
24.0,4.0,2.0,2.08,0.0,23.0,0.11,3.0,14.0,1.0,3.01,39.13,31.45,0.47,0.08,0.29,0.03,-0.29,0.0,1636.0,155.0,6.0,0.0,0.0,155.0,155.0,0.0001614879896498,8.074399482494173e-05,5.471778637192165e-05,1.254812287137577,0.6,26.94,352.1,48.95,0.0
26.0,19.0,19.0,0.15,1.0,29.0,0.29,4.0,13.0,1.0,4.7,34.43,37.05,0.49,0.02,0.14,0.14,-0.28,0.0,565.0,155.0,2.0,0.0,0.0,155.0,155.0,1.115237266826266e-05,5.57618633413133e-06,3.641848192992601e-06,1.324233652826009,0.8,11.31,109.9,86.83,0.0
4.0,20.0,1.0,4.79,1.0,9.0,0.72,18.0,14.0,0.0,1.37,23.47,32.2,0.15,0.03,0.17,0.01,-0.02,926.0,959.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0001022843568137,5.114217840689157e-05,4.265048696068413e-05,1.9103745484816623,0.0,1.11,114.03,inf,0.0
9.0,3.0,15.0,3.91,0.0,7.0,0.73,14.0,20.0,1.0,2.82,39.11,39.95,0.5,0.01,0.21,0.19,-0.08,155.0,477.0,0.0,2.0,0.0,0.0,0.0,0.0,3.324527278010671e-05,1.6622636390053354e-05,1.0038273829729792e-05,1.3458604300297794,0.8,10.21,91.36,89.0,0.0
7.0,13.0,15.0,2.61,0.0,10.0,0.54,13.0,6.0,1.0,0.62,15.26,10.51,0.24,0.04,0.29,0.02,-0.24,0.0,2178.0,0.0,8.0,0.0,0.0,0.0,0.0,6.480079003250466e-05,3.240039501625233e-05,2.2280899921768524e-05,1.1860242789464757,0.4,32.68,500.86,24.0,0.0
18.0,3.0,16.0,0.24,0.0,5.0,0.94,13.0,12.0,1.0,2.36,18.15,6.15,0.12,0.08,0.07,0.03,-0.15,0.0,1084.0,155.0,4.0,0.0,0.0,155.0,155.0,8.298729891411482e-05,4.149364945705741e-05,2.462125050301433e-05,1.2820033385133245,0.6,16.7,227.16,68.67,0.0
6.0,1.0,17.0,0.72,0.0,28.0,0.46,5.0,10.0,1.0,0.33,36.39,36.49,0.19,0.08,0.09,0.09,-0.05,164.0,438.0,0.0,2.0,0.0,0.0,0.0,0.0,3.335150594080972e-05,1.667575297040486e-05,1.1154589403717732e-05,1.3259104807233235,0.8,8.2,82.32,90.38,0.0
27.0,14.0,3.0,0.52,0.0,4.0,0.84,16.0,14.0,0.0,2.18,25.09,31.39,0.48,0.08,0.1,0.04,-0.22,0.0,4630.0,0.0,13.0,0.0,0.0,0.0,0.0,1.3158798326206093e-05,6.579399163103046e-06,4.069087059673377e-06,1.270606102943308,0.8,72.32,1032.21,11.37,0.0
11.0,1.0,4.0,2.7,0.0,24.0,0.25,1.0,11.0,0.0,2.54,32.08,30.16,0.21,0.02,0.1,0.02,-0.19,0.0,1073.0,0.0,4.0,0.0,0.0,0.0,0.0,4.801777651698615e-05,2.4008888258493077e-05,1.534877922725405e-05,1.2411418789490376,0.6,20.91,254.32,-inf,0.0
15.0,18.0,11.0,2.59,0.0,25.0,0.98,7.0,12.0,0.0,0.26,21.02,12.47,0.47,0.02,0.23,0.08,-0.15,0.0,966.0,0.0,2.0,0.0,0.0,0.0,0.0,6.462192368682744e-05,3.231096184341372e-05,1.986187572452591e-05,1.2779683237794437,0.8,18.19,218.03,67.7,0.0
24.0,10.0,13.0,2.9,0.0,3.0,0.38,4.0,16.0,1.0,4.36,7.55,29.51,0.23,0.01,0.06,0.17,-0.22,6.0,834.0,175.0,3.0,0.0,0.0,175.0,175.0,2.1770908728076457e-05,1.0885454364038229e-05,7.056763599902163e-06,1.4144843511082807,0.8,14.83,164.25,78.93,0.0
6.0,7.0,5.0,3.72,0.0,9.0,0.16,15.0,1.0,1.0,1.49,6.7,25.09,0.07,0.09,0.14,0.06,-0.29,7.0,562.0,155.0,2.0,0.0,0.0,155.0,155.0,1.7062643232805603e-06,8.531321616402802e-07,7.096376035039437e-07,1.277807721531724,0.8,12.1,108.26,86.83,0.0
12.0,11.0,1.0,1.51,0.0,22.0,0.37,13.0,11.0,1.0,1.45,29.1,37.56,0.4,0.09,0.06,0.09,-0.0,771.0,815.0,0.0,10.0,0.0,0.0,0.0,0.0,3.86213617035694e-05,1.93106808517847e-05,1.3243851059546716e-05,1.912554189225075,0.0,1.33,99.93,94.91,0.0
26.0,9.0,11.0,1.39,1.0,4.0,0.8,13.0,11.0,1.0,3.1,7.41,5.39,0.38,0.06,0.1,0.15,-0.15,0.0,3054.0,0.0,16.0,0.0,0.0,0.0,0.0,1.6237050419937408e-05,8.118525209968704e-06,5.325875037644971e-06,2.4520271517787577,0.0,39.74,731.09,11.34,0.0
25.0,11.0,13.0,0.13,0.0,16.0,0.31,15.0,6.0,0.0,1.19,9.43,31.38,0.47,0.03,0.24,0.04,-0.25,0.0,2134.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0001443301457035,7.216507285175707e-05,5.0884003023132806e-05,1.2865508477274414,0.4,36.47,501.68,23.95,0.0
26.0,3.0,20.0,3.75,1.0,19.0,0.98,20.0,15.0,1.0,3.8,34.83,13.08,0.22,0.04,0.09,0.08,-0.12,0.0,868.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0036428271610912e-05,1.5018214135805456e-05,9.85302944794845e-06,1.3047629287837272,1.0,15.59,192.02,72.0,1.0
24.0,6.0,6.0,1.62,0.0,25.0,0.46,20.0,11.0,1.0,4.97,14.34,31.79,0.14,0.03,0.29,0.09,-0.06,772.0,793.0,0.0,10.0,0.0,0.0,0.0,0.0,4.069610673040484e-05,2.034805336520242e-05,1.679196159160065e-05,2.063963750167036,0.0,0.83,95.47,95.5,0.0
6.0,7.0,3.0,0.35,1.0,6.0,0.55,13.0,10.0,0.0,1.65,32.8,29.36,0.49,0.06,0.23,0.1,-0.14,0.0,2067.0,0.0,10.0,0.0,0.0,0.0,0.0,3.422117283439878e-05,1.711058641719939e-05,1.054198148524716e-05,1.3184230716550074,0.8,32.08,493.73,25.48,0.0
29.0,20.0,20.0,4.73,1.0,22.0,0.27,17.0,19.0,1.0,0.18,20.77,12.46,0.21,0.04,0.11,0.1,-0.24,0.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001405443818441,7.027219092205225e-05,4.377426239056868e-05,1.2171929124796963,1.0,13.62,127.27,81.79,1.0
24.0,1.0,7.0,3.49,0.0,25.0,0.29,4.0,7.0,0.0,0.84,38.57,39.3,0.23,0.02,0.27,0.02,-0.09,1051.0,1108.0,0.0,11.0,0.0,0.0,0.0,0.0,7.751963882378684e-05,3.875981941189342e-05,3.0300843886836307e-05,2.029109351227587,0.0,1.72,134.31,92.94,0.0
9.0,6.0,9.0,3.13,1.0,3.0,0.13,7.0,8.0,0.0,0.57,25.02,9.49,0.27,0.06,0.13,0.12,-0.27,0.0,915.0,0.0,2.0,0.0,0.0,0.0,0.0,2.722265266270413e-05,1.3611326331352065e-05,8.36670138759327e-06,1.201428918384244,0.8,18.28,208.7,69.71,0.0
25.0,17.0,10.0,3.81,0.0,29.0,0.8,15.0,1.0,1.0,2.59,31.16,33.94,0.33,0.02,0.18,0.02,-0.25,0.0,1343.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0001143316795511,5.716583977559012e-05,3.408901841192376e-05,1.2843470368001868,0.6,23.46,326.87,50.83,0.0
2.0,18.0,20.0,2.03,1.0,17.0,0.87,5.0,7.0,1.0,0.21,40.48,5.98,0.16,0.03,0.11,0.08,-0.22,0.0,1276.0,0.0,4.0,0.0,0.0,0.0,0.0,1.3578562965796196e-05,6.789281482898098e-06,4.456967006644286e-06,1.2363480510883926,0.6,21.18,294.29,55.95,0.0
24.0,12.0,4.0,4.31,1.0,28.0,0.84,6.0,12.0,1.0,0.19,8.23,37.11,0.05,0.02,0.24,0.09,-0.06,769.0,788.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0001084710497222,5.423552486111874e-05,4.471055913726208e-05,2.034786258828349,0.0,0.86,94.72,95.7,0.0
25.0,17.0,7.0,1.03,1.0,6.0,0.95,16.0,19.0,0.0,4.51,39.58,28.72,0.25,0.05,0.15,0.16,-0.0,618.0,671.0,0.0,8.0,0.0,0.0,0.0,0.0,5.4451002281549445e-05,2.7225501140774723e-05,1.901587900610106e-05,1.4052054509436616,0.2,1.51,85.93,95.5,0.0
5.0,17.0,5.0,4.02,0.0,30.0,0.81,18.0,7.0,0.0,4.08,41.4,35.22,0.13,0.04,0.15,0.08,-0.11,2.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,3.447389702180569e-05,1.7236948510902846e-05,1.1918539584677144e-05,1.3202656147390248,1.0,11.14,85.02,87.97,1.0
13.0,20.0,2.0,0.24,0.0,28.0,0.18,1.0,3.0,0.0,0.97,12.72,26.92,0.09,0.03,0.26,0.12,-0.05,925.0,986.0,0.0,12.0,0.0,0.0,0.0,0.0,2.5987118514966087e-05,1.2993559257483044e-05,1.0724334746787468e-05,2.079157606477468,0.0,2.5,122.75,93.53,0.0
7.0,1.0,3.0,2.32,1.0,22.0,0.52,8.0,14.0,0.0,0.45,12.47,21.1,0.36,0.06,0.05,0.02,-0.3,0.0,2167.0,0.0,11.0,0.0,0.0,0.0,0.0,8.812385448370304e-06,4.406192724185152e-06,2.641464133692072e-06,1.2577032292169543,0.2,35.23,522.54,20.84,0.0
13.0,6.0,9.0,2.15,0.0,7.0,0.63,6.0,2.0,0.0,4.97,36.34,23.26,0.25,0.08,0.24,0.1,-0.23,0.0,804.0,0.0,1.0,0.0,0.0,0.0,0.0,6.858174483078869e-05,3.4290872415394347e-05,2.0363465769573743e-05,1.3282449149907711,1.0,16.19,179.26,73.81,1.0
4.0,3.0,4.0,2.56,0.0,6.0,0.33,13.0,10.0,1.0,3.31,23.13,5.15,0.32,0.02,0.24,0.11,-0.07,610.0,924.0,0.0,6.0,0.0,0.0,0.0,0.0,2.595627411108961e-05,1.2978137055544804e-05,7.964260452054452e-06,1.3361877386336392,0.4,8.1,137.17,87.22,0.0
3.0,13.0,10.0,1.13,1.0,10.0,0.36,15.0,11.0,0.0,4.23,9.07,29.0,0.35,0.01,0.17,0.19,-0.07,771.0,796.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0001071407080983,5.357035404916802e-05,4.44107882849382e-05,1.963556567840764,0.0,0.82,96.36,95.5,0.0
9.0,9.0,10.0,2.28,0.0,20.0,0.69,15.0,16.0,1.0,2.46,47.32,14.11,0.11,0.04,0.1,0.08,-0.26,1.0,587.0,155.0,2.0,0.0,0.0,155.0,155.0,6.1116091669169145e-06,3.0558045834584573e-06,2.1409691946642663e-06,1.333470664866766,0.8,11.61,113.94,85.64,0.0
6.0,20.0,11.0,1.95,0.0,21.0,0.68,3.0,15.0,1.0,0.42,22.18,15.96,0.3,0.02,0.11,0.08,-0.15,0.0,780.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0001396223721974,6.981118609873301e-05,4.192439182243448e-05,1.284720448031305,0.8,16.43,180.74,73.68,0.0
19.0,19.0,9.0,1.77,1.0,3.0,0.37,19.0,13.0,0.0,1.94,7.16,6.09,0.25,0.03,0.26,0.09,-0.15,0.0,2034.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0001088500727284,5.4425036364243175e-05,4.106158490356902e-05,2.364005897362076,0.0,23.05,501.96,23.55,0.0
22.0,5.0,16.0,4.6,1.0,27.0,0.11,14.0,15.0,1.0,1.65,14.21,10.49,0.35,0.07,0.21,0.13,-0.21,0.0,839.0,0.0,2.0,0.0,0.0,0.0,0.0,3.44515742939638e-05,1.72257871469819e-05,1.1756316176662257e-05,1.2732463794823283,0.8,17.25,192.65,71.64,0.0
7.0,10.0,2.0,2.25,1.0,19.0,0.66,6.0,3.0,0.0,2.6,26.96,11.14,0.06,0.05,0.11,0.08,-0.08,154.0,439.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0980275445032336e-06,5.490137722516168e-07,4.084917038454859e-07,1.3396017504233797,0.8,8.39,95.91,88.21,0.0
5.0,9.0,6.0,4.94,0.0,13.0,0.8,20.0,14.0,1.0,2.29,17.69,30.8,0.21,0.06,0.27,0.17,-0.3,0.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,3.608829686811878e-05,1.804414843405939e-05,1.1647938075862796e-05,1.350090375657423,1.0,12.52,105.07,85.26,1.0
14.0,10.0,4.0,2.4,1.0,5.0,0.2,12.0,9.0,1.0,4.62,10.81,19.21,0.12,0.09,0.14,0.18,-0.28,0.0,787.0,154.0,4.0,0.0,0.0,154.0,154.0,1.380218769645547e-05,6.901093848227735e-06,4.318086562309134e-06,1.298839588625729,0.8,14.46,167.69,77.75,0.0
