Cost scaling factor global,Update frequency global,Publish frequency gloabl,Transform tolerance global,Footprint padding global,Combination method global,Cost scaling factor local,Inflation radius local,Update frequency local,Publish frequency local,Combination method local,Transform tolerance local,Footprint padding local,Path distance bias,Goal distance bias,Occdist scale,Stop time buffer,yaw goal tolerance,xy goal tolerance,min vel_x,DWA failed,DWA new plan,DWA invalid trajectory,Rotate recovery executed,ClearCostMaps unstuck recovery executed,ClearCostMaps layer recovery executed,Invalid rotation cmd,Error rotating goal,2DRMS,DRMS,CPE,Euclideanddistance,RNS,Traveled distance,Collisions,Mission time,Battery percentage,Mission success
14.0,4.0,2.0,0.71,0.03,1.0,12.0,4.0,4.0,1.0,0.0,0.51,0.02,0.35,1.3,0.04,0.18,0.12,0.2,-0.27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.340205599436133e-05,1.6701027997180666e-05,1.0175591812012551e-05,0.1763588257784246,0.2,4.07,0.0,15.5,95.84,0.0
10.0,4.0,2.0,1.58,0.04,1.0,20.0,3.0,7.0,3.0,1.0,0.61,0.01,0.57,0.84,0.04,0.25,0.18,0.12,-0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4029694093003145e-05,1.2014847046501573e-05,7.891040301768946e-06,0.0896462834093674,0.2,4.31,0.0,16.32,95.95,0.0
